prompt,total_unique_urls,stable_urls,volatile_urls,stability_pct,overlap_pct
What are the best CRM software in 2026?,41,7,29,17.073170731707318,17.073170731707318
Best project management tools for small teams,42,4,28,9.523809523809524,9.523809523809524
How to choose a CRM for my business,22,0,14,0.0,0.0
Best accounting software for freelancers,25,6,11,24.0,24.0
Best email marketing tools for small business,29,4,17,13.793103448275861,13.793103448275861
Best tools for remote team collaboration,29,5,18,17.24137931034483,17.24137931034483
Best invoicing software for small business,53,7,38,13.20754716981132,13.20754716981132
How to pick an ERP system for a growing company,0,0,0,0.0,0.0
Best help desk software for startups,35,2,27,5.714285714285714,5.714285714285714
Best e-commerce platforms 2026,20,10,5,50.0,50.0
What are the symptoms of flu?,17,0,4,0.0,0.0
How to lower blood pressure naturally,32,3,22,9.375,9.375
Best ways to improve sleep quality,29,1,14,3.4482758620689653,3.4482758620689653
How to boost your immune system,30,4,19,13.333333333333334,13.333333333333334
What causes chronic headaches,21,0,12,0.0,0.0
How to lower cholesterol without medication,40,1,36,2.5,2.5
Best vitamins for energy,47,1,38,2.127659574468085,2.127659574468085
How to manage seasonal allergies,15,0,15,0.0,0.0
What are the early signs of diabetes,24,6,9,25.0,25.0
How to reduce inflammation in the body,23,0,16,0.0,0.0
Best laptops for college students 2026,25,12,10,48.0,48.0
How to learn Python for data science,18,0,6,0.0,0.0
Best noise cancelling headphones,28,13,13,46.42857142857143,46.42857142857143
Best smartphones under $500,25,8,13,32.0,32.0
How to speed up a slow computer,25,0,20,0.0,0.0
Best VPN services 2026,22,9,8,40.909090909090914,40.909090909090914
How to protect your data from hackers,15,0,15,0.0,0.0
Best cloud storage services,38,3,28,7.894736842105263,7.894736842105263
Best budget gaming laptops,20,12,7,60.0,60.0
How to invest in index funds,15,0,15,0.0,0.0
Best high yield savings accounts,21,10,7,47.61904761904761,47.61904761904761
How to build an emergency fund,24,0,18,0.0,0.0
How to pay off credit card debt fast,19,0,8,0.0,0.0
Best robo-advisors for beginners,26,5,12,19.230769230769234,19.230769230769234
How to start a Roth IRA,40,1,36,2.5,2.5
How to choose a monitor for programming,15,0,15,0.0,0.0
Best budgeting methods for beginners,37,2,31,5.405405405405405,5.405405405405405
How does compound interest work,0,0,0,0.0,0.0
Best ways to save for retirement in your 30s,28,7,18,25.0,25.0
How to improve credit score fast,28,5,16,17.857142857142858,17.857142857142858
